,Title,Summary
41,"tham tán thương mại ý tại tp.hcm và chủ tịch, tổng thư ký hiệp hội máy dệt ý đến thăm và làm việc tại trường đh bách khoa","trong hai ngày 7/2 và 8/2, ông fabio de cillis - tham tán thương mại ý tại tp.hcm và đại diện hiệp hội máy dệt ý gồm ông alessandro zucchi - chủ tịch và ông federico pellegata - tổng thư ký đã có chuyến thăm và làm việc tại trường đh bách khoa."
42,khoa khoa học ứng dụng: 20 năm ghi dấu một chặng đường,"sáng ngày 4/2/2023, tại hội trường a5, khoa khoa học ứng dụng đã long trọng tổ chức lễ kỷ niệm 20 năm thành lập (28/01/2003 – 28/01/2023) - một dấu ấn mới trên hành trình phát triển của khoa."
43,"viên chức, người lao động, sinh viên trường đh bách khoa hồ hởi quay lại trường sau tết nguyên đán 2023","sáng 30/1 (mùng 9 tháng giêng al), đông đảo viên chức, người lao động, sinh viên trường đại học bách khoa - đhqg-hcm đã quay trở lại làm việc sau kỳ nghỉ tết quý mão 2023."
44,sở công thương tp.hcm và trường đại học bách khoa đhqg-hcm ký kết hợp tác,"sáng ngày 11/1/2023, đại diện sở công thương tp.hcm đã đến thăm và làm việc với trường đại học bách khoa - đhqg-hcm, đặt nền tảng cho mối quan hệ hợp tác lâu dài giữa hai bên trong công tác nghiên cứu khoa học công nghệ."
45,nhà khoa học nữ duy nhất toàn châu á đạt giải thưởng sáng tạo xuất sắc nhất của quỹ toàn cầu hitachi năm 2022,"pgs.ts lê thị kim phụng (giảng  viên trường đh bách khoa-đhqg-hcm) là nhà khoa học nữ  duy nhất toàn châu á nhận được giải thưởng sáng tạo xuất sắc nhất của quỹ toàn cầu hitachi năm 2022. buổi lễ trao giải vừa được diễn ra tại trụ sở chính của tập đoàn hitachi ở tokyo (nhật bản) ngày hôm qua, 10/1/2023."
46,"phiên họp lần thứ bảy của hội đồng trường trường bách khoa, nhiệm kỳ 2020-2025","chiều ngày 6/1/2023,  hội đồng trường trường đh bách khoa - đhqg-hcm đã tổ chức phiên họp lần thứ bảy, thông qua nhiều nội dung quan trọng. gs.ts lê minh phương - chủ tịch hội đồng trường chủ trì phiên họp. dự phiên họp có pgs.ts mai thanh phong - hiệu trưởng; các phó hiệu trưởng: pts. ts trần thiên phúc, pgs.ts lê văn thăng cùng các thành viên trong hội đồng trường."
47,hội nghị lần iii ban đại diện bka nhiệm kỳ 2021 - 2023 và tiệc tất niên trường đại học bách khoa - ban đại diện bka,"chiều 7/1/2022, tại trung tâm thiskyhall, cộng đồng cựu sinh viên phú thọ - bách khoa (bka) đã tổ chức chương trình hội nghị ban đại diện bka lần iii (nhiệm kỳ 2021-2023). sau đó, tiệc tất niên giao lưu giữa nhà trường và ban đại diện cùng quý đối tác thân thiết đã diễn ra trong không khí thân mật."
48,"hội nghị đảng viên 6 tháng cuối năm 2022; nghiên cứu, học tập và quán triệt nghị quyết hội nghị trung ương 6 khóa xiii","sáng 6/1/2022, bch đảng bộ trường đh bách khoa-đhqg-hcm tổ chức hội nghị đảng viên 6 tháng cuối năm 2022; nghiên cứu, học tập và quán triệt nghị quyết hội nghị lần thứ 6 ban chấp hành trung ương khóa 13 cho toàn thể viên chức, người lao động của trường."
49,aqua việt nam tài trợ thiết bị điện lạnh cho sinh viên trường đh bách khoa,"sáng ngày 27/12/2022, tại bm nhiệt lạnh (khoa cơ khí, trường đh bách khoa) đã diễn ra lễ trao các thiết bị điện lạnh do aqua việt nam tài trợ cho sinh viên nhà trường học tập và nghiên cứu."
50,"tết sinh viên - tết an nhiên, tân niên tấn tới","sắc xuân bắt đầu ngập tràn mọi nẻo, trước khoảnh khắc giao thời giữa năm cũ và năm mới, các bạn sinh viên bách khoa đã có những giây phút đón tết rộn ràng, tưng bừng cùng nhau."
